player,team,shots,goals,xg,passes,assists,yellow_cards,red_cards
Héctor Alfredo Moreno Herrera,Mexico,1,0,0.1766503,191,0,1,0
Hugo Lloris,France,0,0,0.0,182,0,0,0
Homam Alamin Ahmed,Qatar,0,0,0.0,103,0,1,0
Hirving Rodrigo Lozano Bahena,Mexico,6,0,0.24040568040000002,74,0,0,0
Hiroki Sakai,Japan,1,0,0.28772855,46,0,0,0
Hiroki Ito,Japan,0,0,0.0,63,0,0,0
Hidemasa Morita,Japan,3,0,0.190594476,161,0,0,0
Heung-Min Son,South Korea,9,0,0.453828075,122,1,0,0
Jawad El Yamiq,Morocco,1,0,0.06408756,160,0,0,0
Jason Cummings,Australia,0,0,0.0,6,0,0,0
Jan Vertonghen,Belgium,2,0,0.10772621,264,0,0,0
Jan Bednarek,Poland,0,0,0.0,6,0,0,0
Jamie MacLaren,Australia,0,0,0.0,16,0,0,0
Jamal Musiala,Germany,11,0,1.152516099,117,0,0,0
Jakub Piotr Kiwior,Poland,1,0,0.12449861,201,0,1,0
Jakub Kamiński,Poland,4,0,0.26249409,59,0,0,0
Jae-Sung Lee,South Korea,1,0,0.021393217,96,0,0,0
Jackson Irvine,Australia,3,0,0.33239220599999997,129,0,2,0
Jackson Gabriel Porozo Vernaza,Ecuador,1,0,0.052534856,42,0,0,0
Iñaki Williams Arthuer,Ghana,2,0,0.126027007,44,0,0,0
Ivan Ilić,Serbia,0,0,0.0,20,0,0,0
Issam Jebali,Tunisia,3,0,0.5930872340000001,37,0,0,0
Ismail Jakobs,Senegal,1,0,0.014392905,157,1,1,0
Ismael Koné,Canada,0,0,0.0,102,0,0,0
John Stones,England,4,0,0.587418711,450,0,0,0
Johan Alberto Venegas Ulloa,Costa Rica,0,0,0.0,14,0,0,0
Joel Nathaniel Campbell Samuels,Costa Rica,1,0,0.051288527,137,0,1,0
Joe Rodon,Wales,0,0,0.0,162,0,1,0
Joe Allen,Wales,2,0,0.063709024,36,0,0,0
Joakim Mæhle,Denmark,2,0,0.042316963,145,0,0,0
Joachim Andersen,Denmark,4,0,0.1448613,245,0,0,0
Jin-Su Kim,South Korea,3,0,0.285274066,141,1,0,0
Jhegson Sebastián Méndez Carabalí,Ecuador,0,0,0.0,141,0,2,0
Jewison Bennette,Costa Rica,1,0,0.037811525,15,0,0,0
Jesús Daniel Gallardo Vasconcelos,Mexico,1,0,0.06430086,138,0,0,0
Jesus Ferreira,United States,0,0,0.0,20,0,0,0
Jesper Lindstrøm,Denmark,3,0,0.334183148,54,0,0,0
Jerome Ngom Mbekeli,Cameroon,0,0,0.0,2,1,0,0
Jeremy Leonel Sarmiento Morante,Ecuador,1,0,0.02928531,33,0,0,0
Jeremy Doku,Belgium,0,0,0.0,14,0,0,0
Josip Šutalo,Croatia,0,0,0.0,66,0,0,0
Josip Stanišić,Croatia,1,0,0.040524755,49,0,0,0
Josip Juranović,Croatia,1,0,0.041306578,406,1,0,0
Joshua Sargent,United States,4,0,0.362028482,34,0,0,0
Joshua Kimmich,Germany,7,0,0.334518198,271,0,1,0
Joseff Morrell,Wales,0,0,0.0,13,0,0,0
Jorge Resurrección Merodio,Spain,0,0,0.0,63,0,0,0
Jorge Eduardo Sánchez Ramos,Mexico,1,0,0.0069717234,86,0,1,0
Jordi Alba Ramos,Spain,2,0,0.045861136,371,2,0,0
Jordan Veretout,France,0,0,0.0,35,0,0,0
Jordan Pickford,England,0,0,0.0,161,0,0,0
Jordan Morris,United States,0,0,0.0,4,0,0,0
Jordan Ayew,Ghana,1,0,0.07146578,44,1,0,0
Jonathan Osorio,Canada,1,0,0.03829635,60,0,1,0
Jonathan David,Canada,8,0,0.8128135049999999,59,0,0,0
Jonas Hofmann,Germany,1,0,0.32657883,20,0,0,0
José María Giménez de Vargas,Uruguay,3,0,0.129368291,167,0,0,0
José Martín Cáceres Silva,Uruguay,0,0,0.0,81,0,1,0
Carlos Manuel Martínez Castro,Costa Rica,0,0,0.0,14,0,0,0
Carlos Armando Gruezo Arboleda,Ecuador,0,0,0.0,14,0,0,0
Carlos Alberto Rodríguez Gómez,Mexico,0,0,0.0,29,0,0,0
Cameron Carter-Vickers,United States,0,0,0.0,55,0,0,0
Callum Wilson,England,0,0,0.0,12,1,0,0
Bryan Ruiz González,Costa Rica,0,0,0.0,13,0,0,0
Bryan Oviedo,Costa Rica,0,0,0.0,89,0,0,0
Bryan Mbeumo,Cameroon,2,0,0.134345962,81,0,0,0
Bruno Guimarães Rodriguez Moura,Brazil,5,0,0.64781192,55,0,1,0
Brennan Johnson,Wales,3,0,0.124267868,18,0,0,0
Brenden Aaronson,United States,1,0,0.09428854,48,0,0,0
José Diogo Dalot Teixeira,Portugal,1,0,0.036435805,142,1,0,0
José Andrés Guardado Hernández,Mexico,0,0,0.0,16,0,0,0
José Adoni Cifuentes Charcopa,Ecuador,1,0,0.025271386,43,0,0,0
Kang-In Lee,South Korea,5,0,0.117975209,77,1,1,0
Kamil Grosicki,Poland,0,0,0.0,6,0,0,0
Kamil Glik,Poland,3,0,0.150632187,130,0,0,0
Kamaldeen Sulemana,Ghana,1,0,0.081227794,20,0,1,0
Kamal Miller,Canada,0,0,0.0,199,0,0,0
Kalvin Phillips,England,0,0,0.0,19,1,0,0
Jurriën David Norman Timber,Netherlands,0,0,0.0,316,0,0,0
Junya Ito,Japan,2,0,0.11059656,98,1,0,0
Jun-Ho Son,South Korea,0,0,0.0,61,0,0,0
Jules Olivier Ntcham,Cameroon,1,0,0.03332142,12,0,0,0
Jules Koundé,France,4,0,0.16960582600000002,308,0,1,0
Juan Pablo Vargas Campos,Costa Rica,1,0,0.18427365,28,0,0,0
Juan Marcos Foyth,Argentina,0,0,0.0,4,0,0,0
João Pedro Cavaco Cancelo,Portugal,2,0,0.054823571,269,0,0,0
João Mário Naval da Costa Eduardo,Portugal,0,0,0.0,40,0,0,0
João Maria Lobo Alves Palhinha Gonçalves,Portugal,1,0,0.021024177,30,0,0,0
Kieffer Roberto Francisco Moore,Wales,6,0,0.6403291090000001,60,0,0,0
Keylor Navas Gamboa,Costa Rica,0,0,0.0,101,0,0,0
Kevin Nahin Álvarez Campos,Mexico,0,0,0.0,24,0,0,0
Kevin José Rodríguez Cortez,Ecuador,1,0,0.13848205,1,0,0,0
Kevin De Bruyne,Belgium,7,0,0.1779663248,140,0,0,0
