home_elo,away_elo,elo_diff,home_form,away_form,form_diff,neutral,is_wc,home_total_goals,away_total_goals,home_total_xg,away_total_xg,home_total_shots,away_total_shots,home_top_scorer_goals,away_top_scorer_goals,home_total_yellow_cards,away_total_yellow_cards
984.3528000084657,1015.0,-30.647199991534308,0.0,1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985.0,1014.3413447831562,-29.34134478315616,0.0,0.6666666666666666,-0.6666666666666666,0,0,5.0,0.0,6.090516355,0.0,37.0,0.0,2.0,0.0,8.0,0.0
985.0,944.5771767358061,40.42282326419388,0.0,0.2777777777777778,-0.2777777777777778,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
972.8988647072701,1028.6802751485857,-55.78141044131553,0.35714285714285715,1.0,-0.6428571428571428,0,0,3.0,0.0,3.9385379416,0.0,46.0,0.0,1.0,0.0,5.0,0.0
1093.780927019721,1000.6823000624352,93.09862695728589,0.9375,0.5,0.4375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015.5995806307182,1001.3104591525312,14.289121478186985,0.75,0.5,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999.9975918340938,1000.0,-0.0024081659062176186,0.5,0.5,0.0,0,0,1.0,0.0,3.192257232,0.0,35.0,0.0,1.0,0.0,5.0,0.0
1015.045587197648,961.3145381349892,53.731049062658826,0.6666666666666666,0.35,0.31666666666666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
970.67252485988,985.0,-14.327475140119986,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998.7080052393336,1000.0,-1.2919947606663982,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
971.2907412877619,984.3817835721181,-13.091042284356263,0.16666666666666666,0.25,-0.08333333333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1030.6471999915343,985.6471999915343,45.0,1.0,0.3333333333333333,0.6666666666666667,1,0,2.0,0.0,3.057649911,0.0,41.0,0.0,1.0,0.0,7.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990.2866603137438,972.5792146987469,17.707445614996914,0.4375,0.25,0.1875,0,0,3.0,0.0,3.9385379416,0.0,46.0,0.0,1.0,0.0,5.0,0.0
1014.3528000084657,1027.744149777832,-13.391349769366343,1.0,0.75,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985.6471999915343,998.0775800630732,-12.430380071538934,0.0,0.5,-0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004.6081754059472,985.0,19.608175405947236,0.5,0.0,0.5,0,0,0.0,1.0,0.0,2.218980701,0.0,24.0,0.0,1.0,0.0,5.0
986.264255770038,1014.3528000084657,-28.088544238427744,0.0,0.6666666666666666,-0.6666666666666666,0,0,6.0,2.0,8.2310779317,3.2705338566,68.0,33.0,2.0,2.0,3.0,3.0
1015.0,968.2626386008169,46.7373613991831,1.0,0.0,1.0,0,0,13.0,0.0,8.735856199,0.0,63.0,0.0,3.0,0.0,1.0,0.0
1015.0,1042.5480790896945,-27.54807908969451,1.0,0.875,0.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013.7637848798964,968.8168651592619,44.94691972063458,0.6666666666666666,0.16666666666666666,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1015.0,-15.0,0.5,1.0,-0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001.2919947606664,1015.0,-13.708005239333602,0.5,1.0,-0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1029.3528000084657,-29.352800008465692,0.5,1.0,-0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029.983017258349,970.6471999915343,59.33581726681473,0.8333333333333334,0.0,0.8333333333333334,0,0,0.0,23.0,0.0,20.988442916,0.0,110.0,0.0,9.0,0.0,11.0
988.3430453323036,1025.0694635340476,-36.72641820174397,0.4,0.75,-0.35,1,0,0.0,3.0,0.0,4.663221082,0.0,31.0,0.0,2.0,0.0,7.0
985.0,1000.0,-15.0,0.0,0.5,-0.5,0,0,10.0,0.0,13.6365929812,0.0,99.0,0.0,3.0,0.0,6.0,0.0
